Lock Chip,Over Blade,Main/Metal Blade (CX) / Blade (UX/BX),Assist Blade,Ratchet,Bit,Points,Sample Size (Win Count),Combo Rank,Rank Change,Lock Chip Usage (Sample Size),Over Blade Usage (Sample Size),Main/Metal Blade (CX) / Blade (UX/BX) Usage (Sample Size),Assist Blade Usage (Sample Size),Ratchet Usage (Sample Size),Bit Usage (Sample Size),Blade Rank,Assist Blade Rank,Ratchet Rank,Bit Rank,Combo ID,,Lock Chip Name,Lock Chip Points,,Over Blade Name,Over Blade Points,,Main/Metal Blade (CX) / Blade (UX/BX) Name,Main/Metal Blade (CX) / Blade (UX/BX) Points,,Assist Blade Name,Assist Blade Points,,Ratchet Name,Ratchet Points,,Bit Name,Bit Points
Metal,,Blast,Heavy,9-60,Zap,1,1,214,New,,,95,91,383,9,7,1,2,17,Metal-None-Blast-Heavy-9-60-Zap,,,,,,,,,,,,,,,,,,
Metal,,Blast,Heavy,9-60,Hexa,1,1,214,New,,,95,91,383,354,7,1,2,2,Metal-None-Blast-Heavy-9-60-Hexa,,,,,,,,,,,,,,,,,,
Metal,,Blast,Heavy,3-60,Kick,1,1,214,New,,,95,91,279,153,7,1,3,5,Metal-None-Blast-Heavy-3-60-Kick,,,,,,,,,,,,,,,,,,
Metal,,Blast,Heavy,1-50,Kick,1,1,214,New,,,95,91,24,153,7,1,12,5,Metal-None-Blast-Heavy-1-50-Kick,,,,,,,,,,,,,,,,,,
Metal,,Blast,Heavy,9-60,Orb,1,1,214,New,,,95,91,383,6,7,1,2,21,Metal-None-Blast-Heavy-9-60-Orb,,,,,,,,,,,,,,,,,,
Metal,,Blast,Heavy,1-50,Rush,1,1,214,New,,,95,91,24,256,7,1,12,3,Metal-None-Blast-Heavy-1-50-Rush,,,,,,,,,,,,,,,,,,
Metal,,Blast,Wheel,9-60,Kick,1,1,214,New,,,95,22,383,153,7,2,2,5,Metal-None-Blast-Wheel-9-60-Kick,,,,,,,,,,,,,,,,,,
Metal,,Blast,Wheel,9-60,Unite,1,1,214,New,,,95,22,383,12,7,2,2,15,Metal-None-Blast-Wheel-9-60-Unite,,,,,,,,,,,,,,,,,,
Metal,,Blast,Wheel,9-60,FreeBall,1,1,214,New,,,95,22,383,197,7,2,2,4,Metal-None-Blast-Wheel-9-60-FreeBall,,,,,,,,,,,,,,,,,,
Metal,,Blast,Wheel,9-80,Taper,1,1,214,New,,,95,22,6,17,7,2,16,14,Metal-None-Blast-Wheel-9-80-Taper,,,,,,,,,,,,,,,,,,
Metal,,Blast,Wheel,3-60,Rush,1,1,214,New,,,95,22,279,256,7,2,3,3,Metal-None-Blast-Wheel-3-60-Rush,,,,,,,,,,,,,,,,,,
Metal,,Blast,Free,9-60,FreeBall,1,1,214,New,,,95,4,383,197,7,4,2,4,Metal-None-Blast-Free-9-60-FreeBall,,,,,,,,,,,,,,,,,,
Metal,,Blast,Jaggy,5-60,LowRush,1,1,214,New,,,95,12,101,366,7,3,6,1,Metal-None-Blast-Jaggy-5-60-LowRush,,,,,,,,,,,,,,,,,,
,,SilverWolf,,9-70,Wedge,1,1,214,New,,,87,,49,39,8,,9,11,None-None-SilverWolf-None-9-70-Wedge,,,,,,,,,,,,,,,,,,
,,SilverWolf,,9-60,WallBall,1,1,214,New,,,87,,383,10,8,,2,16,None-None-SilverWolf-None-9-60-WallBall,,,,,,,,,,,,,,,,,,
,,SilverWolf,,0-60,RubberAccel,1,1,214,New,,,87,,4,8,8,,18,19,None-None-SilverWolf-None-0-60-RubberAccel,,,,,,,,,,,,,,,,,,
,,SilverWolf,,9-60,Wedge,1,1,214,⬇️ 136,,,87,,383,39,8,,2,11,None-None-SilverWolf-None-9-60-Wedge,,,,,,,,,,,,,,,,,,
,,SilverWolf,,5-60,FreeBall,1,1,214,⬇️ 105,,,87,,101,197,8,,6,4,None-None-SilverWolf-None-5-60-FreeBall,,,,,,,,,,,,,,,,,,
,,SilverWolf,,1-70,FreeBall,1,1,214,New,,,87,,198,197,8,,4,4,None-None-SilverWolf-None-1-70-FreeBall,,,,,,,,,,,,,,,,,,
,,SilverWolf,,1-60,LowOrb,1,1,214,New,,,87,,539,85,8,,1,8,None-None-SilverWolf-None-1-60-LowOrb,,,,,,,,,,,,,,,,,,
,,SilverWolf,,9-70,LowOrb,1,1,214,⬇️ 105,,,87,,49,85,8,,9,8,None-None-SilverWolf-None-9-70-LowOrb,,,,,,,,,,,,,,,,,,
,,SilverWolf,,3-85,FreeBall,1,1,214,New,,,87,,4,197,8,,18,4,None-None-SilverWolf-None-3-85-FreeBall,,,,,,,,,,,,,,,,,,
,,SilverWolf,,7-60,Hexa,1,1,214,⬇️ 23,,,87,,184,354,8,,5,2,None-None-SilverWolf-None-7-60-Hexa,,,,,,,,,,,,,,,,,,
,,SilverWolf,,9-70,Ball,1,1,214,New,,,87,,49,43,8,,9,10,None-None-SilverWolf-None-9-70-Ball,,,,,,,,,,,,,,,,,,
,,SilverWolf,,9-70,Dot,1,1,214,New,,,87,,49,2,8,,9,28,None-None-SilverWolf-None-9-70-Dot,,,,,,,,,,,,,,,,,,
,,SilverWolf,,7-60,Level,1,1,214,New,,,87,,184,153,8,,5,5,None-None-SilverWolf-None-7-60-Level,,,,,,,,,,,,,,,,,,
,,SilverWolf,,1-70,LowOrb,1,1,214,New,,,87,,198,85,8,,4,8,None-None-SilverWolf-None-1-70-LowOrb,,,,,,,,,,,,,,,,,,
,,SilverWolf,,5-70,FreeBall,1,1,214,New,,,87,,5,197,8,,17,4,None-None-SilverWolf-None-5-70-FreeBall,,,,,,,,,,,,,,,,,,
,,SilverWolf,,3-80,FreeBall,1,1,214,New,,,87,,3,197,8,,22,4,None-None-SilverWolf-None-3-80-FreeBall,,,,,,,,,,,,,,,,,,
,,SilverWolf,,1-60,Hexa,1,1,214,New,,,87,,539,354,8,,1,2,None-None-SilverWolf-None-1-60-Hexa,,,,,,,,,,,,,,,,,,
,,SilverWolf,,6-60,Orb,1,1,214,New,,,87,,53,6,8,,7,21,None-None-SilverWolf-None-6-60-Orb,,,,,,,,,,,,,,,,,,
,,SilverWolf,,1-60,LowRush,1,1,214,New,,,87,,539,366,8,,1,1,None-None-SilverWolf-None-1-60-LowRush,,,,,,,,,,,,,,,,,,
,,SilverWolf,,1-70,Hexa,1,1,214,⬇️ 105,,,87,,198,354,8,,4,2,None-None-SilverWolf-None-1-70-Hexa,,,,,,,,,,,,,,,,,,
,,SilverWolf,,6-60,Hexa,1,1,214,⬇️ 136,,,87,,53,354,8,,7,2,None-None-SilverWolf-None-6-60-Hexa,,,,,,,,,,,,,,,,,,
,,MeteorDragoon,,3-70,Jolt,1,1,214,New,,,104,,13,74,6,,13,9,None-None-MeteorDragoon-None-3-70-Jolt,,,,,,,,,,,,,,,,,,
,,MeteorDragoon,,7-80,Elevate,1,1,214,New,,,104,,3,117,6,,22,7,None-None-MeteorDragoon-None-7-80-Elevate,,,,,,,,,,,,,,,,,,
,,MeteorDragoon,,4-50,Point,1,1,214,New,,,104,,48,38,6,,10,12,None-None-MeteorDragoon-None-4-50-Point,,,,,,,,,,,,,,,,,,
,,MeteorDragoon,,9-60,Wedge,1,1,214,New,,,104,,383,39,6,,2,11,None-None-MeteorDragoon-None-9-60-Wedge,,,,,,,,,,,,,,,,,,
,,MeteorDragoon,,7-70,Zap,1,1,214,New,,,104,,52,9,6,,8,17,None-None-MeteorDragoon-None-7-70-Zap,,,,,,,,,,,,,,,,,,
,,MeteorDragoon,,5-80,Wedge,1,1,214,New,,,104,,2,39,6,,26,11,None-None-MeteorDragoon-None-5-80-Wedge,,,,,,,,,,,,,,,,,,
,,MeteorDragoon,,9-70,Glide,1,1,214,New,,,104,,49,3,6,,9,25,None-None-MeteorDragoon-None-9-70-Glide,,,,,,,,,,,,,,,,,,
,,MeteorDragoon,,9-70,Elevate,1,1,214,New,,,104,,49,117,6,,9,7,None-None-MeteorDragoon-None-9-70-Elevate,,,,,,,,,,,,,,,,,,
,,MeteorDragoon,,1-70,Elevate,1,1,214,New,,,104,,198,117,6,,4,7,None-None-MeteorDragoon-None-1-70-Elevate,,,,,,,,,,,,,,,,,,
,,MeteorDragoon,,7-60,Cyclone,1,1,214,New,,,104,,184,4,6,,5,24,None-None-MeteorDragoon-None-7-60-Cyclone,,,,,,,,,,,,,,,,,,
,,MeteorDragoon,,5-60,Zap,1,1,214,New,,,104,,101,9,6,,6,17,None-None-MeteorDragoon-None-5-60-Zap,,,,,,,,,,,,,,,,,,
,,MeteorDragoon,,9-60,Zap,1,1,214,New,,,104,,383,9,6,,2,17,None-None-MeteorDragoon-None-9-60-Zap,,,,,,,,,,,,,,,,,,
,,MeteorDragoon,,9-70,Level,1,1,214,New,,,104,,49,153,6,,9,5,None-None-MeteorDragoon-None-9-70-Level,,,,,,,,,,,,,,,,,,
,,MeteorDragoon,,6-60,Elevate,1,1,214,New,,,104,,53,117,6,,7,7,None-None-MeteorDragoon-None-6-60-Elevate,,,,,,,,,,,,,,,,,,
,,MeteorDragoon,,7-70,Elevate,1,1,214,New,,,104,,52,117,6,,8,7,None-None-MeteorDragoon-None-7-70-Elevate,,,,,,,,,,,,,,,,,,
,,MeteorDragoon,,9-70,RubberAccel,1,1,214,New,,,104,,49,8,6,,9,19,None-None-MeteorDragoon-None-9-70-RubberAccel,,,,,,,,,,,,,,,,,,
,,MeteorDragoon,,9-60,Rush,1,1,214,New,,,104,,383,256,6,,2,3,None-None-MeteorDragoon-None-9-60-Rush,,,,,,,,,,,,,,,,,,
,,MeteorDragoon,,5-70,Glide,1,1,214,New,,,104,,5,3,6,,17,25,None-None-MeteorDragoon-None-5-70-Glide,,,,,,,,,,,,,,,,,,
,,MeteorDragoon,,1-70,Zap,1,1,214,New,,,104,,198,9,6,,4,17,None-None-MeteorDragoon-None-1-70-Zap,,,,,,,,,,,,,,,,,,
,,MeteorDragoon,,3-70,Level,1,1,214,⬇️ 23,,,104,,13,153,6,,13,5,None-None-MeteorDragoon-None-3-70-Level,,,,,,,,,,,,,,,,,,
,,MeteorDragoon,,4-50,Zap,1,1,214,New,,,104,,48,9,6,,10,17,None-None-MeteorDragoon-None-4-50-Zap,,,,,,,,,,,,,,,,,,
,,MeteorDragoon,,9-60,Kick,1,1,214,New,,,104,,383,153,6,,2,5,None-None-MeteorDragoon-None-9-60-Kick,,,,,,,,,,,,,,,,,,
,,MeteorDragoon,,3-60,Jolt,1,1,214,New,,,104,,279,74,6,,3,9,None-None-MeteorDragoon-None-3-60-Jolt,,,,,,,,,,,,,,,,,,
,,CobaltDragoon,,0-60,Elevate,1,1,214,New,,,116,,4,117,4,,18,7,None-None-CobaltDragoon-None-0-60-Elevate,,,,,,,,,,,,,,,,,,
,,CobaltDragoon,,1-70,RubberAccel,1,1,214,New,,,116,,198,8,4,,4,19,None-None-CobaltDragoon-None-1-70-RubberAccel,,,,,,,,,,,,,,,,,,
,,CobaltDragoon,,4-50,Level,1,1,214,⬇️ 23,,,116,,48,153,4,,10,5,None-None-CobaltDragoon-None-4-50-Level,,,,,,,,,,,,,,,,,,
,,CobaltDragoon,,5-80,Elevate,1,1,214,New,,,116,,2,117,4,,26,7,None-None-CobaltDragoon-None-5-80-Elevate,,,,,,,,,,,,,,,,,,
,,CobaltDragoon,,4-50,LowRush,1,1,214,New,,,116,,48,366,4,,10,1,None-None-CobaltDragoon-None-4-50-LowRush,,,,,,,,,,,,,,,,,,
,,CobaltDragoon,,7-60,LowRush,1,1,214,New,,,116,,184,366,4,,5,1,None-None-CobaltDragoon-None-7-60-LowRush,,,,,,,,,,,,,,,,,,
,,CobaltDragoon,,9-65,Elevate,1,1,214,New,,,116,,1,117,4,,28,7,None-None-CobaltDragoon-None-9-65-Elevate,,,,,,,,,,,,,,,,,,
,,CobaltDragoon,,3-60,Level,1,1,214,New,,,116,,279,153,4,,3,5,None-None-CobaltDragoon-None-3-60-Level,,,,,,,,,,,,,,,,,,
,,CobaltDragoon,,1-60,Elevate,1,1,214,⬇️ 136,,,116,,539,117,4,,1,7,None-None-CobaltDragoon-None-1-60-Elevate,,,,,,,,,,,,,,,,,,
,,CobaltDragoon,,1-60,Level,1,1,214,New,,,116,,539,153,4,,1,5,None-None-CobaltDragoon-None-1-60-Level,,,,,,,,,,,,,,,,,,
,,CobaltDragoon,,4-50,Rush,1,1,214,New,,,116,,48,256,4,,10,3,None-None-CobaltDragoon-None-4-50-Rush,,,,,,,,,,,,,,,,,,
,,CobaltDragoon,,1-70,Elevate,1,1,214,New,,,116,,198,117,4,,4,7,None-None-CobaltDragoon-None-1-70-Elevate,,,,,,,,,,,,,,,,,,
,,CobaltDragoon,,7-70,Elevate,1,1,214,New,,,116,,52,117,4,,8,7,None-None-CobaltDragoon-None-7-70-Elevate,,,,,,,,,,,,,,,,,,
Plastic,,Blast,Heavy,9-70,Taper,1,1,214,New,,,95,91,49,17,7,1,9,14,Plastic-None-Blast-Heavy-9-70-Taper,,,,,,,,,,,,,,,,,,
Plastic,,Blast,Heavy,3-60,Level,1,1,214,New,,,95,91,279,153,7,1,3,5,Plastic-None-Blast-Heavy-3-60-Level,,,,,,,,,,,,,,,,,,
Plastic,,Blast,Heavy,1-60,Kick,1,1,214,New,,,95,91,539,153,7,1,1,5,Plastic-None-Blast-Heavy-1-60-Kick,,,,,,,,,,,,,,,,,,
Plastic,,Blast,Heavy,7-60,Level,1,1,214,New,,,95,91,184,153,7,1,5,5,Plastic-None-Blast-Heavy-7-60-Level,,,,,,,,,,,,,,,,,,
Plastic,,Blast,Heavy,9-60,LowRush,1,1,214,New,,,95,91,383,366,7,1,2,1,Plastic-None-Blast-Heavy-9-60-LowRush,,,,,,,,,,,,,,,,,,
Plastic,,Blast,Heavy,3-60,Jolt,1,1,214,New,,,95,91,279,74,7,1,3,9,Plastic-None-Blast-Heavy-3-60-Jolt,,,,,,,,,,,,,,,,,,
Plastic,,Blast,Heavy,1-50,Kick,1,1,214,New,,,95,91,24,153,7,1,12,5,Plastic-None-Blast-Heavy-1-50-Kick,,,,,,,,,,,,,,,,,,
Plastic,,Blast,Heavy,1-50,LowRush,1,1,214,New,,,95,91,24,366,7,1,12,1,Plastic-None-Blast-Heavy-1-50-LowRush,,,,,,,,,,,,,,,,,,
Plastic,,Blast,Jaggy,3-60,Jolt,1,1,214,New,,,95,12,279,74,7,3,3,9,Plastic-None-Blast-Jaggy-3-60-Jolt,,,,,,,,,,,,,,,,,,
Plastic,,Blast,Jaggy,1-60,LowRush,1,1,214,New,,,95,12,539,366,7,3,1,1,Plastic-None-Blast-Jaggy-1-60-LowRush,,,,,,,,,,,,,,,,,,
Plastic,,Blast,Jaggy,3-60,LowRush,1,1,214,New,,,95,12,279,366,7,3,3,1,Plastic-None-Blast-Jaggy-3-60-LowRush,,,,,,,,,,,,,,,,,,
Plastic,,Blast,Jaggy,9-60,LowRush,1,1,214,New,,,95,12,383,366,7,3,2,1,Plastic-None-Blast-Jaggy-9-60-LowRush,,,,,,,,,,,,,,,,,,
Plastic,,Blast,Wheel,7-60,LowRush,1,1,214,New,,,95,22,184,366,7,2,5,1,Plastic-None-Blast-Wheel-7-60-LowRush,,,,,,,,,,,,,,,,,,
Plastic,,Blast,Assault,3-60,GearPoint,1,1,214,New,,,95,1,279,3,7,6,3,25,Plastic-None-Blast-Assault-3-60-GearPoint,,,,,,,,,,,,,,,,,,
,,MummyCurse,,4-60,Hexa,1,1,214,New,,,50,,4,354,9,,18,2,None-None-MummyCurse-None-4-60-Hexa,,,,,,,,,,,,,,,,,,
,,MummyCurse,,1-60,WallWedge,1,1,214,New,,,50,,539,5,9,,1,23,None-None-MummyCurse-None-1-60-WallWedge,,,,,,,,,,,,,,,,,,
,,MummyCurse,,1-70,Wedge,1,1,214,New,,,50,,198,39,9,,4,11,None-None-MummyCurse-None-1-70-Wedge,,,,,,,,,,,,,,,,,,
,,MummyCurse,,3-60,Kick,1,1,214,New,,,50,,279,153,9,,3,5,None-None-MummyCurse-None-3-60-Kick,,,,,,,,,,,,,,,,,,
,,MummyCurse,,1-70,FreeBall,1,1,214,New,,,50,,198,197,9,,4,4,None-None-MummyCurse-None-1-70-FreeBall,,,,,,,,,,,,,,,,,,
,,MummyCurse,,1-60,Elevate,1,1,214,New,,,50,,539,117,9,,1,7,None-None-MummyCurse-None-1-60-Elevate,,,,,,,,,,,,,,,,,,
,,MummyCurse,,7-60,Kick,1,1,214,⬇️ 23,,,50,,184,153,9,,5,5,None-None-MummyCurse-None-7-60-Kick,,,,,,,,,,,,,,,,,,
,,MummyCurse,,1-60,Rush,1,1,214,New,,,50,,539,256,9,,1,3,None-None-MummyCurse-None-1-60-Rush,,,,,,,,,,,,,,,,,,
,,MummyCurse,,7-60,Wedge,1,1,214,⬇️ 23,,,50,,184,39,9,,5,11,None-None-MummyCurse-None-7-60-Wedge,,,,,,,,,,,,,,,,,,
,,MummyCurse,,1-60,Point,1,1,214,New,,,50,,539,38,9,,1,12,None-None-MummyCurse-None-1-60-Point,,,,,,,,,,,,,,,,,,
,,MummyCurse,,1-80,UnderNeedle,1,1,214,New,,,50,,9,19,9,,15,13,None-None-MummyCurse-None-1-80-UnderNeedle,,,,,,,,,,,,,,,,,,
,,MummyCurse,,9-60,FreeBall,1,1,214,⬇️ 105,,,50,,383,197,9,,2,4,None-None-MummyCurse-None-9-60-FreeBall,,,,,,,,,,,,,,,,,,
,,MummyCurse,,9-60,LowOrb,1,1,214,New,,,50,,383,85,9,,2,8,None-None-MummyCurse-None-9-60-LowOrb,,,,,,,,,,,,,,,,,,
,,MummyCurse,,9-60,WallWedge,1,1,214,New,,,50,,383,5,9,,2,23,None-None-MummyCurse-None-9-60-WallWedge,,,,,,,,,,,,,,,,,,
,,MummyCurse,,1-50,Kick,1,1,214,New,,,50,,24,153,9,,12,5,None-None-MummyCurse-None-1-50-Kick,,,,,,,,,,,,,,,,,,
,,MummyCurse,,7-60,WallWedge,1,1,214,New,,,50,,184,5,9,,5,23,None-None-MummyCurse-None-7-60-WallWedge,,,,,,,,,,,,,,,,,,
,,ClockMirage,,3-85,Needle,1,1,214,New,,,37,,4,1,10,,18,34,None-None-ClockMirage-None-3-85-Needle,,,,,,,,,,,,,,,,,,
,,ClockMirage,,M-85,Ball,1,1,214,New,,,37,,3,43,10,,22,10,None-None-ClockMirage-None-M-85-Ball,,,,,,,,,,,,,,,,,,
,,ClockMirage,,4-55,UnderNeedle,1,1,214,⬇️ 136,,,37,,11,19,10,,14,13,None-None-ClockMirage-None-4-55-UnderNeedle,,,,,,,,,,,,,,,,,,
,,ClockMirage,,9-80,HighNeedle,1,1,214,New,,,37,,6,1,10,,16,34,None-None-ClockMirage-None-9-80-HighNeedle,,,,,,,,,,,,,,,,,,
,,DranBuster,,1-60,Rush,1,1,214,⬇️ 23,,,9,,539,256,20,,1,3,None-None-DranBuster-None-1-60-Rush,,,,,,,,,,,,,,,,,,
,,DranBuster,,4-50,Vortex,1,1,214,New,,,9,,48,2,20,,10,28,None-None-DranBuster-None-4-50-Vortex,,,,,,,,,,,,,,,,,,
,,DranBuster,,1-60,Cyclone,1,1,214,New,,,9,,539,4,20,,1,24,None-None-DranBuster-None-1-60-Cyclone,,,,,,,,,,,,,,,,,,
,,DranBuster,,5-70,Rush,1,1,214,New,,,9,,5,256,20,,17,3,None-None-DranBuster-None-5-70-Rush,,,,,,,,,,,,,,,,,,
,,DranBuster,,3-60,Kick,1,1,214,New,,,9,,279,153,20,,3,5,None-None-DranBuster-None-3-60-Kick,,,,,,,,,,,,,,,,,,
,,DranBuster,,1-60,LowFlat,1,1,214,⬇️ 23,,,9,,539,7,20,,1,20,None-None-DranBuster-None-1-60-LowFlat,,,,,,,,,,,,,,,,,,
,,DranBuster,,1-60,Accel,1,1,214,New,,,9,,539,3,20,,1,25,None-None-DranBuster-None-1-60-Accel,,,,,,,,,,,,,,,,,,
,,DranBuster,,2-60,LowFlat,1,1,214,New,,,9,,4,7,20,,18,20,None-None-DranBuster-None-2-60-LowFlat,,,,,,,,,,,,,,,,,,
,,DranBuster,,1-60,Kick,1,1,214,New,,,9,,539,153,20,,1,5,None-None-DranBuster-None-1-60-Kick,,,,,,,,,,,,,,,,,,
,,PhoenixWing,,3-60,Hexa,1,1,214,⬇️ 23,,,105,,279,354,5,,3,2,None-None-PhoenixWing-None-3-60-Hexa,,,,,,,,,,,,,,,,,,
,,PhoenixWing,,1-70,Point,1,1,214,New,,,105,,198,38,5,,4,12,None-None-PhoenixWing-None-1-70-Point,,,,,,,,,,,,,,,,,,
,,PhoenixWing,,5-70,Rush,1,1,214,New,,,105,,5,256,5,,17,3,None-None-PhoenixWing-None-5-70-Rush,,,,,,,,,,,,,,,,,,
,,PhoenixWing,,3-60,Flat,1,1,214,New,,,105,,279,6,5,,3,21,None-None-PhoenixWing-None-3-60-Flat,,,,,,,,,,,,,,,,,,
,,PhoenixWing,,9-60,Ball,1,1,214,⬇️ 23,,,105,,383,43,5,,2,10,None-None-PhoenixWing-None-9-60-Ball,,,,,,,,,,,,,,,,,,
,,PhoenixWing,,3-60,Point,1,1,214,⬇️ 136,,,105,,279,38,5,,3,12,None-None-PhoenixWing-None-3-60-Point,,,,,,,,,,,,,,,,,,
,,PhoenixWing,,7-60,LowRush,1,1,214,⬇️ 23,,,105,,184,366,5,,5,1,None-None-PhoenixWing-None-7-60-LowRush,,,,,,,,,,,,,,,,,,
,,PhoenixWing,,3-60,Ball,1,1,214,New,,,105,,279,43,5,,3,10,None-None-PhoenixWing-None-3-60-Ball,,,,,,,,,,,,,,,,,,
,,PhoenixWing,,3-70,Kick,1,1,214,New,,,105,,13,153,5,,13,5,None-None-PhoenixWing-None-3-70-Kick,,,,,,,,,,,,,,,,,,
,,PhoenixWing,,9-70,Ball,1,1,214,New,,,105,,49,43,5,,9,10,None-None-PhoenixWing-None-9-70-Ball,,,,,,,,,,,,,,,,,,
,,PhoenixWing,,9-60,Wedge,1,1,214,⬇️ 105,,,105,,383,39,5,,2,11,None-None-PhoenixWing-None-9-60-Wedge,,,,,,,,,,,,,,,,,,
,,PhoenixWing,,5-60,Rush,1,1,214,New,,,105,,101,256,5,,6,3,None-None-PhoenixWing-None-5-60-Rush,,,,,,,,,,,,,,,,,,
,,PhoenixWing,,7-70,Hexa,1,1,214,New,,,105,,52,354,5,,8,2,None-None-PhoenixWing-None-7-70-Hexa,,,,,,,,,,,,,,,,,,
,,PhoenixWing,,9-60,Taper,1,1,214,New,,,105,,383,17,5,,2,14,None-None-PhoenixWing-None-9-60-Taper,,,,,,,,,,,,,,,,,,
,,PhoenixWing,,5-60,Point,1,1,214,New,,,105,,101,38,5,,6,12,None-None-PhoenixWing-None-5-60-Point,,,,,,,,,,,,,,,,,,
,,PhoenixWing,,4-60,Rush,1,1,214,New,,,105,,4,256,5,,18,3,None-None-PhoenixWing-None-4-60-Rush,,,,,,,,,,,,,,,,,,
,,PhoenixWing,,5-70,LowRush,1,1,214,New,,,105,,5,366,5,,17,1,None-None-PhoenixWing-None-5-70-LowRush,,,,,,,,,,,,,,,,,,
,,PhoenixWing,,7-55,LowRush,1,1,214,New,,,105,,27,366,5,,11,1,None-None-PhoenixWing-None-7-55-LowRush,,,,,,,,,,,,,,,,,,
,,PhoenixWing,,3-80,GearFlat,1,1,214,New,,,105,,3,2,5,,22,28,None-None-PhoenixWing-None-3-80-GearFlat,,,,,,,,,,,,,,,,,,
,,PhoenixWing,,3-70,LowRush,1,1,214,New,,,105,,13,366,5,,13,1,None-None-PhoenixWing-None-3-70-LowRush,,,,,,,,,,,,,,,,,,
,,PhoenixWing,,3-60,Wedge,1,1,214,New,,,105,,279,39,5,,3,11,None-None-PhoenixWing-None-3-60-Wedge,,,,,,,,,,,,,,,,,,
,,PhoenixWing,,3-80,FreeBall,1,1,214,New,,,105,,3,197,5,,22,4,None-None-PhoenixWing-None-3-80-FreeBall,,,,,,,,,,,,,,,,,,
,,PhoenixWing,,3-60,Kick,1,1,214,⬇️ 23,,,105,,279,153,5,,3,5,None-None-PhoenixWing-None-3-60-Kick,,,,,,,,,,,,,,,,,,
,,PhoenixWing,,7-70,LowRush,1,1,214,New,,,105,,52,366,5,,8,1,None-None-PhoenixWing-None-7-70-LowRush,,,,,,,,,,,,,,,,,,
,,TyrannoBeat,,1-60,Point,1,1,214,New,,,25,,539,38,12,,1,12,None-None-TyrannoBeat-None-1-60-Point,,,,,,,,,,,,,,,,,,
,,TyrannoBeat,,1-60,Kick,1,1,214,⬇️ 105,,,25,,539,153,12,,1,5,None-None-TyrannoBeat-None-1-60-Kick,,,,,,,,,,,,,,,,,,
,,TyrannoBeat,,7-70,Wedge,1,1,214,New,,,25,,52,39,12,,8,11,None-None-TyrannoBeat-None-7-70-Wedge,,,,,,,,,,,,,,,,,,
,,TyrannoBeat,,1-70,Point,1,1,214,New,,,25,,198,38,12,,4,12,None-None-TyrannoBeat-None-1-70-Point,,,,,,,,,,,,,,,,,,
,,TyrannoBeat,,9-70,Wedge,1,1,214,New,,,25,,49,39,12,,9,11,None-None-TyrannoBeat-None-9-70-Wedge,,,,,,,,,,,,,,,,,,
,,TyrannoBeat,,3-60,Rush,1,1,214,⬇️ 23,,,25,,279,256,12,,3,3,None-None-TyrannoBeat-None-3-60-Rush,,,,,,,,,,,,,,,,,,
,,TyrannoBeat,,1-70,LowRush,1,1,214,New,,,25,,198,366,12,,4,1,None-None-TyrannoBeat-None-1-70-LowRush,,,,,,,,,,,,,,,,,,
,,TyrannoBeat,,7-70,Point,1,1,214,⬇️ 23,,,25,,52,38,12,,8,12,None-None-TyrannoBeat-None-7-70-Point,,,,,,,,,,,,,,,,,,
,,TyrannoBeat,,1-60,LowRush,1,1,214,New,,,25,,539,366,12,,1,1,None-None-TyrannoBeat-None-1-60-LowRush,,,,,,,,,,,,,,,,,,
,,TyrannoBeat,,3-60,Spike,1,1,214,New,,,25,,279,2,12,,3,28,None-None-TyrannoBeat-None-3-60-Spike,,,,,,,,,,,,,,,,,,
,,TyrannoBeat,,7-60,Rush,1,1,214,⬇️ 23,,,25,,184,256,12,,5,3,None-None-TyrannoBeat-None-7-60-Rush,,,,,,,,,,,,,,,,,,
,,TyrannoBeat,,9-60,Point,1,1,214,New,,,25,,383,38,12,,2,12,None-None-TyrannoBeat-None-9-60-Point,,,,,,,,,,,,,,,,,,
,,TyrannoBeat,,1-60,Rush,1,1,214,⬇️ 23,,,25,,539,256,12,,1,3,None-None-TyrannoBeat-None-1-60-Rush,,,,,,,,,,,,,,,,,,
,,TyrannoBeat,,7-70,LowRush,1,1,214,⬇️ 23,,,25,,52,366,12,,8,1,None-None-TyrannoBeat-None-7-70-LowRush,,,,,,,,,,,,,,,,,,
,,TyrannoBeat,,9-60,Rush,1,1,214,⬇️ 105,,,25,,383,256,12,,2,3,None-None-TyrannoBeat-None-9-60-Rush,,,,,,,,,,,,,,,,,,
,,TyrannoRoar,,9-70,Rush,1,1,214,New,,,5,,49,256,28,,9,3,None-None-TyrannoRoar-None-9-70-Rush,,,,,,,,,,,,,,,,,,
,,TyrannoRoar,,9-60,Wedge,1,1,214,New,,,5,,383,39,28,,2,11,None-None-TyrannoRoar-None-9-60-Wedge,,,,,,,,,,,,,,,,,,
,,TyrannoRoar,,9-60,LowRush,1,1,214,New,,,5,,383,366,28,,2,1,None-None-TyrannoRoar-None-9-60-LowRush,,,,,,,,,,,,,,,,,,
,,TyrannoRoar,,3-60,Taper,1,1,214,New,,,5,,279,17,28,,3,14,None-None-TyrannoRoar-None-3-60-Taper,,,,,,,,,,,,,,,,,,
,,TyrannoRoar,,3-70,Point,1,1,214,⬇️ 23,,,5,,13,38,28,,13,12,None-None-TyrannoRoar-None-3-70-Point,,,,,,,,,,,,,,,,,,
